Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),501.03,395.04,664.32,5010.27,398.29,411.29,427.54,445.52,465.98,556.81,613.84,639.08,659.27,82.17
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,6.90,4.00,11.00,69.00,4.09,4.45,4.90,5.25,6.00,8.50,10.10,10.55,10.91,2.21
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.19,0.00,1.91,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.19,1.05,1.73,0.57
HTTP Connection Overhead (ms),0.32,0.00,3.18,3.18,0.00,0.00,0.00,0.00,0.00,0.00,0.32,1.75,2.90,0.95
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),8.44,5.51,13.98,84.38,5.56,5.78,6.05,6.65,7.24,9.58,12.52,13.25,13.83,2.66
HTTP Data Sent (KB),2.46,2.19,2.64,24.59,2.20,2.24,2.30,2.34,2.45,2.61,2.63,2.63,2.64,0.15
HTTP DNS Lookup (ms),0.13,0.00,1.28,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.70,1.16,0.38
HTTP Duration (excl. conn) (ms),3154.47,2432.94,5047.63,31544.70,2439.50,2465.76,2498.59,2828.07,2924.30,3313.39,3714.11,4380.87,4914.27,712.15
HTTP Receiving (ms),2570.23,1848.87,4537.94,25702.32,1851.99,1864.50,1880.12,2198.00,2322.69,2727.59,3225.95,3881.94,4406.74,746.82
HTTP Sending (ms),0.44,0.20,2.34,4.45,0.20,0.20,0.21,0.21,0.22,0.25,0.54,1.44,2.16,0.63
HTTP Total Time (ms),3154.79,2432.94,5047.63,31547.88,2439.79,2467.19,2501.45,2828.07,2924.30,3313.39,3714.11,4380.87,4914.27,711.86
HTTP Waiting (TTFB) (ms),583.79,485.55,670.99,5837.94,487.71,496.31,507.06,528.25,594.75,631.79,639.94,655.46,667.89,59.42
Input Sequence Length (tokens),550.00,550.00,550.00,5500.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,0.00
Inter Chunk Latency (ms),435.63,187.42,668.44,25702.22,187.68,200.78,251.50,355.10,417.79,533.38,624.94,653.06,668.43,133.06
Inter Token Latency (ms),1.64,1.30,1.90,16.40,1.31,1.33,1.36,1.44,1.72,1.79,1.83,1.87,1.90,0.20
Output Sequence Length (tokens),1604.70,990.00,2579.00,16047.00,1002.60,1053.00,1116.00,1242.00,1348.00,1967.75,2390.00,2484.50,2560.10,521.51
Output Token Count (tokens),711.00,491.00,1167.00,7110.00,493.61,504.05,517.10,621.00,710.50,751.00,803.40,985.20,1130.64,177.08
Output Token Throughput Per User (tokens/sec/user),620.12,525.08,768.79,6201.19,527.30,536.21,547.34,558.80,580.74,698.73,737.02,752.91,765.61,84.17
Prefill Throughput Per User (tokens/sec/user),951.54,819.09,1131.99,9515.43,823.10,839.15,859.22,869.42,924.55,1043.56,1084.19,1108.09,1127.21,101.71
Reasoning Token Count (tokens),893.70,499.00,1606.00,8937.00,508.36,545.80,592.60,608.50,671.00,1220.75,1431.40,1518.70,1588.54,381.65
Request Latency (ms),3154.58,2433.03,5047.73,31545.79,2439.60,2465.89,2498.75,2828.16,2924.41,3313.49,3714.21,4380.97,4914.38,712.15
Time to First Output Token (ms),1939.09,1290.87,2785.92,19390.90,1301.84,1345.74,1400.62,1556.64,1660.97,2477.79,2770.53,2778.23,2784.38,549.45
Time to First Token (ms),584.36,485.87,671.48,5843.56,488.02,496.63,507.40,528.56,595.08,632.66,640.28,655.88,668.36,59.59
Time to Second Token (ms),469.93,244.67,668.35,4699.29,255.89,300.74,356.80,383.06,471.42,528.92,638.31,653.33,665.34,121.75

Metric,Value
Benchmark Duration (sec),31.57
Output Token Throughput (tokens/sec),508.35
Request Count,10.00
Request Throughput (requests/sec),0.32
Total Input Sequence Length (tokens),5500.00
Total Output Sequence Length (tokens),16047.00
Total Output Tokens (tokens),7110.00
Total Reasoning Tokens (tokens),8937.00
Total Token Throughput (tokens/sec),682.58


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
