Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),103.42,103.25,103.51,1034.22,103.26,103.30,103.35,103.38,103.43,103.48,103.51,103.51,103.51,0.08
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1766.40,1542.00,2028.00,17664.00,1546.32,1563.60,1585.20,1632.00,1762.00,1879.50,1970.40,1999.20,2022.24,155.01
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.20,0.00,1.96,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1.08,1.79,0.59
HTTP Connection Overhead (ms),0.33,0.00,3.27,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.80,2.98,0.98
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),417.86,364.89,479.31,4178.58,365.92,370.03,375.16,385.99,416.33,445.06,466.22,472.76,478.00,36.65
HTTP Data Sent (KB),2.52,2.26,2.69,25.16,2.28,2.36,2.45,2.48,2.52,2.56,2.62,2.66,2.68,0.11
HTTP DNS Lookup (ms),0.13,0.00,1.31,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.72,1.19,0.39
HTTP Duration (excl. conn) (ms),17067.87,14888.38,19596.52,170678.74,14930.11,15097.01,15305.64,15758.42,17024.61,18179.78,19053.41,19324.97,19542.21,1506.67
HTTP Receiving (ms),17009.94,14835.24,19544.05,170099.37,14877.03,15044.17,15253.10,15706.89,16967.72,18105.37,18986.20,19265.13,19488.27,1502.12
HTTP Sending (ms),0.51,0.23,2.41,5.07,0.23,0.23,0.23,0.27,0.28,0.32,0.64,1.52,2.23,0.64
HTTP Total Time (ms),17068.20,14888.38,19596.52,170682.01,14930.11,15097.01,15305.64,15758.42,17024.61,18179.78,19056.35,19326.44,19542.51,1507.09
HTTP Waiting (TTFB) (ms),57.43,50.79,81.18,574.30,50.92,51.42,52.04,52.29,52.83,57.19,67.91,74.54,79.85,9.02
Input Sequence Length (tokens),550.00,550.00,550.00,5500.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,0.00
Inter Chunk Latency (ms),9.63,4.28,19.26,169820.16,8.63,9.37,9.46,9.55,9.62,9.69,9.79,9.91,10.77,0.49
Inter Token Latency (ms),9.63,9.62,9.64,96.32,9.62,9.62,9.62,9.63,9.63,9.64,9.64,9.64,9.64,0.01
Output Sequence Length (tokens),1764.10,1538.00,2026.00,17641.00,1542.50,1560.50,1583.00,1630.00,1760.00,1876.75,1968.40,1997.20,2020.24,155.22
Output Token Count (tokens),881.20,688.00,1130.00,8812.00,694.30,719.50,751.00,772.00,854.00,969.25,1091.30,1110.65,1126.13,139.09
Output Token Throughput Per User (tokens/sec/user),103.83,103.75,103.92,1038.25,103.75,103.75,103.76,103.78,103.81,103.87,103.91,103.92,103.92,0.06
Prefill Throughput Per User (tokens/sec/user),7340.27,5584.01,7895.24,73402.71,5659.08,5959.32,6334.63,7325.69,7697.69,7782.00,7813.12,7854.18,7887.03,715.46
Reasoning Token Count (tokens),882.90,629.00,1137.00,8829.00,639.71,682.55,736.10,766.75,856.00,1025.25,1079.40,1108.20,1131.24,156.46
Request Latency (ms),17057.80,14878.41,19586.37,170578.00,14920.11,15086.93,15295.44,15748.48,17014.44,18169.86,19043.26,19314.81,19532.06,1506.65
Time to First Output Token (ms),8555.56,6112.00,10996.75,85555.56,6214.09,6622.46,7132.93,7435.44,8288.13,9945.71,10453.36,10725.05,10942.41,1510.04
Time to First Token (ms),75.78,69.66,98.50,757.83,69.74,70.03,70.40,70.68,71.45,75.09,86.98,92.74,97.34,8.80
Time to Second Token (ms),9.58,9.24,9.75,95.76,9.25,9.31,9.38,9.54,9.61,9.66,9.75,9.75,9.75,0.15

Metric,Value
Benchmark Duration (sec),170.86
Output Token Throughput (tokens/sec),103.25
Request Count,10.00
Request Throughput (requests/sec),0.06
Total Input Sequence Length (tokens),5500.00
Total Output Sequence Length (tokens),17641.00
Total Output Tokens (tokens),8812.00
Total Reasoning Tokens (tokens),8829.00
Total Token Throughput (tokens/sec),135.44


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
