Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),139.43,67.80,417.67,1394.28,67.89,68.23,68.65,76.23,101.56,127.47,255.81,336.74,401.48,104.21
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,6.80,5.00,10.00,68.00,5.00,5.00,5.00,5.25,6.00,8.00,9.10,9.55,9.91,1.72
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.02,0.00,2.23,10.17,0.00,0.00,0.00,0.00,0.92,2.03,2.11,2.17,2.22,1.02
HTTP Connection Overhead (ms),1.71,0.00,3.78,17.05,0.00,0.00,0.00,0.00,1.56,3.35,3.54,3.66,3.76,1.71
HTTP Connection Reused (ratio),0.50,0.00,1.00,5.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),8.39,6.57,11.17,83.87,6.58,6.61,6.65,6.96,7.70,9.63,10.67,10.92,11.12,1.62
HTTP Data Sent (KB),2.53,2.39,2.67,25.28,2.39,2.40,2.41,2.46,2.49,2.62,2.66,2.67,2.67,0.10
HTTP DNS Lookup (ms),0.69,0.00,1.55,6.88,0.00,0.00,0.00,0.00,0.64,1.31,1.46,1.51,1.54,0.69
HTTP Duration (excl. conn) (ms),14830.44,4532.15,18347.93,148304.37,4928.02,6511.51,8490.87,12562.98,17712.98,18068.25,18276.09,18312.01,18340.75,4599.65
HTTP Receiving (ms),2891.66,1898.79,4249.08,28916.60,1907.77,1943.70,1988.60,2208.77,2661.68,3564.27,3930.90,4089.99,4217.26,793.16
HTTP Sending (ms),1.40,0.22,2.78,14.01,0.23,0.23,0.24,0.26,1.40,2.48,2.56,2.67,2.75,1.10
HTTP Total Time (ms),14832.14,4535.26,18347.93,148321.42,4931.17,6514.80,8494.34,12566.38,17714.67,18068.25,18276.09,18312.01,18340.75,4598.50
HTTP Waiting (TTFB) (ms),11937.38,634.33,16268.99,119373.76,1053.47,2730.02,4825.70,10282.03,14076.98,15686.08,15790.48,16029.73,16221.14,4982.77
Input Sequence Length (tokens),550.00,550.00,550.00,5500.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,0.00
Inter Chunk Latency (ms),498.56,154.60,1103.95,28916.28,154.77,191.73,296.05,409.83,492.88,603.92,720.04,757.11,1077.31,168.61
Inter Token Latency (ms),1.79,1.00,2.30,17.90,1.05,1.26,1.52,1.73,1.79,2.00,2.12,2.21,2.29,0.33
Output Sequence Length (tokens),1638.00,1207.00,2384.00,16380.00,1207.36,1208.80,1210.60,1270.75,1479.00,1979.25,2150.00,2267.00,2360.60,406.47
Output Token Count (tokens),794.60,286.00,1241.00,7946.00,309.13,401.65,517.30,644.50,815.00,987.50,1029.50,1135.25,1219.85,261.61
Output Token Throughput Per User (tokens/sec/user),585.58,434.16,1004.21,5855.76,437.94,453.07,471.97,502.77,557.72,579.60,672.09,838.15,971.00,150.17
Prefill Throughput Per User (tokens/sec/user),128.65,33.81,863.66,1286.55,33.91,34.32,34.83,35.06,39.11,54.11,179.87,521.76,795.28,245.83
Reasoning Token Count (tokens),843.40,508.00,1378.00,8434.00,513.85,537.25,566.50,620.50,675.50,1107.50,1189.00,1283.50,1359.10,292.24
Request Latency (ms),14830.59,4532.32,18348.01,148305.92,4928.20,6511.69,8491.06,12563.18,17713.14,18068.35,18276.26,18312.14,18340.84,4599.62
Time to First Output Token (ms),13371.38,1966.16,17465.87,133713.78,2436.54,4318.05,6669.95,11543.14,16401.75,16584.41,16834.69,17150.28,17402.75,4915.16
Time to First Token (ms),11938.96,636.82,16269.71,119389.65,1055.98,2732.63,4828.44,10284.75,14077.35,15687.04,15790.83,16030.27,16221.82,4982.10
Time to Second Token (ms),494.32,240.89,747.74,4943.15,249.67,284.81,328.74,430.41,475.48,600.75,652.03,699.88,738.17,142.42

Metric,Value
Benchmark Duration (sec),35.83
Output Token Throughput (tokens/sec),457.16
Request Count,10.00
Request Throughput (requests/sec),0.28
Total Input Sequence Length (tokens),5500.00
Total Output Sequence Length (tokens),16380.00
Total Output Tokens (tokens),7946.00
Total Reasoning Tokens (tokens),8434.00
Total Token Throughput (tokens/sec),610.66


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
