# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.11.0
# schema_version: 1.0
# benchmark_id: 751c541c40ca
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,phase,stage,worker,Description
localhost:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of disconnected clients
localhost:8000,gauge,dynamo_request_plane_inflight_requests,requests,0.9960,0.0000,1.0000,0.0630,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,Currently in-flight requests at AddressedPushRouter
localhost:8000,gauge,dynamo_tokio_alive_tasks,,37.0833,36.0000,38.0000,0.3172,36.5100,37.0000,37.0000,37.0000,37.0000,37.0000,37.0000,38.0000,38.0000,,,,,Number of alive tasks in the runtime
localhost:8000,gauge,dynamo_tokio_blocking_idle_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of idle blocking threads
localhost:8000,gauge,dynamo_tokio_blocking_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of tasks in the blocking thread pool queue
localhost:8000,gauge,dynamo_tokio_blocking_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of blocking threads
localhost:8000,gauge,dynamo_tokio_global_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of tasks in the runtime global queue
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,458.0000,458.0000,458.0000,0.0000,458.0000,458.0000,458.0000,458.0000,458.0000,458.0000,458.0000,458.0000,458.0000,,,,0,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,1,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,10,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,11,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,12,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,13,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,14,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,15,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,16,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,82.9484,9.0000,334.0000,75.8675,9.5100,12.0000,15.0000,26.0000,67.0000,99.7500,142.0000,285.0000,327.3700,,,,17,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,109.6429,9.0000,583.0000,99.7508,12.0600,18.0000,43.0000,55.2500,76.0000,111.0000,314.0000,314.0000,510.5800,,,,18,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,19,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,2,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,20,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,76.1468,7.0000,425.0000,69.0527,7.0000,11.0000,16.0000,36.0000,66.0000,92.0000,119.0000,154.0000,372.4700,,,,21,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
