Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),47.53,14.33,133.46,475.32,14.95,17.40,20.46,27.93,37.93,46.85,83.25,108.35,128.44,33.07
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,5.10,3.00,8.00,51.00,3.09,3.45,3.90,5.00,5.00,5.00,6.20,7.10,7.82,1.22
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.09,0.00,2.32,10.86,0.00,0.00,0.00,0.00,1.02,2.15,2.24,2.28,2.31,1.09
HTTP Connection Overhead (ms),1.81,0.00,3.81,18.14,0.00,0.00,0.00,0.00,1.70,3.60,3.76,3.78,3.80,1.82
HTTP Connection Reused (ratio),0.50,0.00,1.00,5.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),5.53,2.33,8.00,55.29,2.46,2.96,3.58,5.17,5.62,6.31,7.11,7.56,7.91,1.52
HTTP Data Sent (KB),2.52,2.29,2.70,25.16,2.29,2.29,2.29,2.48,2.53,2.62,2.67,2.68,2.69,0.13
HTTP DNS Lookup (ms),0.73,0.00,1.52,7.28,0.00,0.00,0.00,0.00,0.68,1.45,1.50,1.51,1.52,0.73
HTTP Duration (excl. conn) (ms),27828.47,8137.04,36694.19,278284.69,8819.55,11549.57,14962.11,24293.12,31936.16,33352.41,35475.38,36084.79,36572.31,8908.47
HTTP Receiving (ms),5119.93,1601.16,7749.03,51199.26,1743.53,2313.02,3024.88,4575.71,5373.08,6142.12,6647.21,7198.12,7638.85,1666.81
HTTP Sending (ms),1.48,0.26,2.84,14.80,0.26,0.26,0.27,0.29,1.40,2.66,2.78,2.81,2.84,1.20
HTTP Total Time (ms),27830.28,8140.61,36697.80,278302.83,8823.10,11553.07,14965.52,24296.92,31936.16,33352.41,35475.74,36086.77,36575.60,8907.44
HTTP Waiting (TTFB) (ms),22707.06,2331.34,31879.47,227070.63,3010.10,5725.13,9118.91,19022.70,26729.95,29012.69,30440.23,31159.85,31735.54,9289.40
Input Sequence Length (tokens),550.00,550.00,550.00,5500.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,0.00
Inter Chunk Latency (ms),1383.73,344.80,1642.47,51197.96,344.80,571.10,812.37,1267.27,1589.59,1600.89,1629.44,1638.67,1642.47,330.08
Inter Token Latency (ms),4.76,3.51,5.37,47.55,3.58,3.84,4.16,4.69,4.87,5.00,5.35,5.36,5.36,0.52
Output Sequence Length (tokens),1056.90,457.00,1568.00,10569.00,477.25,558.25,659.50,982.00,1074.50,1206.75,1344.80,1456.40,1545.68,296.59
Output Token Count (tokens),456.50,29.00,870.00,4565.00,33.68,52.40,75.80,323.50,472.00,633.50,696.30,783.15,852.63,250.84
Output Token Throughput Per User (tokens/sec/user),213.25,186.34,284.84,2132.51,186.40,186.63,186.91,200.02,205.48,213.42,241.03,262.94,280.46,27.44
Prefill Throughput Per User (tokens/sec/user),46.05,17.25,235.63,460.51,17.33,17.66,18.07,18.96,20.59,29.48,73.69,154.66,219.44,64.14
Reasoning Token Count (tokens),600.40,376.00,1034.00,6004.00,378.07,386.35,396.70,491.75,590.00,641.50,731.60,882.80,1003.76,176.44
Request Latency (ms),27828.52,8137.21,36694.14,278285.21,8819.72,11549.75,14962.29,24293.30,31936.14,33352.30,35475.46,36084.80,36572.27,8908.39
Time to First Output Token (ms),25453.68,5476.43,33472.45,254536.83,6161.35,8901.02,12325.61,22086.89,29563.47,31898.90,32138.86,32805.66,33339.09,8984.21
Time to First Token (ms),22708.73,2334.16,31882.42,227087.26,3012.91,5727.90,9121.63,19025.77,26730.37,29013.10,30440.88,31161.65,31738.27,9288.69
Time to Second Token (ms),1521.59,1209.41,1606.61,15215.91,1211.56,1220.16,1230.90,1589.96,1594.30,1599.73,1601.46,1604.04,1606.09,150.30

Metric,Value
Benchmark Duration (sec),68.69
Output Token Throughput (tokens/sec),153.87
Request Count,10.00
Request Throughput (requests/sec),0.15
Total Input Sequence Length (tokens),5500.00
Total Output Sequence Length (tokens),10569.00
Total Output Tokens (tokens),4565.00
Total Reasoning Tokens (tokens),6004.00
Total Token Throughput (tokens/sec),233.94


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
