# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.11.0
# schema_version: 1.0
# benchmark_id: 555335b4e6be
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,phase,stage,worker,Description
localhost:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of disconnected clients
localhost:8000,gauge,dynamo_request_plane_inflight_requests,requests,0.9961,0.0000,1.0000,0.0622,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,Currently in-flight requests at AddressedPushRouter
localhost:8000,gauge,dynamo_tokio_alive_tasks,,36.9709,28.0000,38.0000,0.5653,37.0000,37.0000,37.0000,37.0000,37.0000,37.0000,37.0000,37.0000,37.0000,,,,,Number of alive tasks in the runtime
localhost:8000,gauge,dynamo_tokio_blocking_idle_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of idle blocking threads
localhost:8000,gauge,dynamo_tokio_blocking_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of tasks in the blocking thread pool queue
localhost:8000,gauge,dynamo_tokio_blocking_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of blocking threads
localhost:8000,gauge,dynamo_tokio_global_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of tasks in the runtime global queue
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,0,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,76.7713,26.0000,1000.0000,118.7137,29.1500,36.0000,40.0000,47.0000,58.0000,69.0000,92.0000,120.2500,1000.0000,,,,1,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,10,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,11,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,12,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,13,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,14,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,15,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,16,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,17,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,64.3643,23.0000,323.0000,34.9016,32.0000,39.0000,42.0000,49.0000,58.0000,65.0000,84.0000,117.0000,275.0000,,,,18,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
