# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.11.0
# schema_version: 1.0
# benchmark_id: af6bb4d7dfde
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,phase,stage,worker,Description
localhost:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of disconnected clients
localhost:8000,gauge,dynamo_request_plane_inflight_requests,requests,3.8307,0.0000,5.0000,1.5429,1.0000,1.0000,1.0000,3.0000,5.0000,5.0000,5.0000,5.0000,5.0000,,,,,Currently in-flight requests at AddressedPushRouter
localhost:8000,gauge,dynamo_tokio_alive_tasks,,52.2530,32.0000,57.0000,6.2654,41.0000,41.0000,41.0000,49.0000,57.0000,57.0000,57.0000,57.0000,57.0000,,,,,Number of alive tasks in the runtime
localhost:8000,gauge,dynamo_tokio_blocking_idle_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of idle blocking threads
localhost:8000,gauge,dynamo_tokio_blocking_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of tasks in the blocking thread pool queue
localhost:8000,gauge,dynamo_tokio_blocking_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of blocking threads
localhost:8000,gauge,dynamo_tokio_global_queue_depth,,0.0060,0.0000,1.0000,0.0772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,Number of tasks in the runtime global queue
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,0,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,67.2390,27.0000,154.0000,28.3673,27.0000,33.0000,36.1000,47.0000,60.0000,76.0000,118.0000,118.0000,152.8600,,,,1,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,10,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,11,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,12,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,13,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,14,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,15,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,8.9641,3.0000,9.0000,0.4629,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,,,,16,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,17,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,384.2311,90.0000,386.0000,22.8366,386.0000,386.0000,386.0000,386.0000,386.0000,386.0000,386.0000,386.0000,386.0000,,,,18,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,71.9522,35.0000,234.0000,15.8646,38.0600,51.0000,64.0000,72.0000,72.0000,72.0000,77.0000,77.0000,131.7400,,,,19,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,2,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,67.1514,17.0000,135.0000,31.2840,25.0100,32.0000,32.0000,43.0000,55.0000,102.7500,110.0000,129.0000,129.0000,,,,20,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,432.4363,6.0000,435.0000,33.0977,435.0000,435.0000,435.0000,435.0000,435.0000,435.0000,435.0000,435.0000,435.0000,,,,21,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,5.0000,5.0000,5.0000,0.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,,,,22,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,85.9701,28.0000,399.0000,54.2778,29.0100,35.0000,38.1000,52.0000,59.0000,109.0000,167.0000,167.0000,167.0000,,,,23,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,3,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,4,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,5,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,6,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
localhost:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,7,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
