Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),33.74,13.79,103.41,337.40,13.93,14.49,15.19,19.05,24.95,34.37,54.19,78.80,98.49,25.23
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1694.30,1111.00,2206.00,16943.00,1133.59,1223.95,1336.90,1512.50,1649.50,1942.00,2026.90,2116.45,2188.09,312.28
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.98,0.00,2.20,9.77,0.00,0.00,0.00,0.00,0.88,1.93,2.01,2.11,2.18,0.98
HTTP Connection Overhead (ms),1.61,0.00,3.51,16.11,0.00,0.00,0.00,0.00,1.47,3.21,3.35,3.43,3.49,1.62
HTTP Connection Reused (ratio),0.50,0.00,1.00,5.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),400.73,263.20,521.84,4007.28,268.52,289.83,316.46,357.98,390.44,459.34,478.64,500.24,517.52,73.61
HTTP Data Sent (KB),2.55,2.23,2.81,25.54,2.25,2.33,2.42,2.49,2.56,2.61,2.70,2.75,2.80,0.15
HTTP DNS Lookup (ms),0.63,0.00,1.34,6.34,0.00,0.00,0.00,0.00,0.59,1.28,1.31,1.33,1.34,0.64
HTTP Duration (excl. conn) (ms),67092.69,15946.32,91424.97,670926.92,17222.02,22324.84,28703.36,50778.30,78847.44,88066.67,89906.08,90665.52,91273.08,25789.31
HTTP Receiving (ms),16315.67,10673.79,21275.97,163156.71,10891.91,11764.41,12855.04,14550.60,15876.82,18723.53,19534.95,20405.46,21101.87,3024.93
HTTP Sending (ms),1.36,0.24,2.77,13.63,0.24,0.24,0.25,0.27,1.27,2.38,2.56,2.67,2.75,1.09
HTTP Total Time (ms),67094.30,15949.57,91424.97,670943.03,17225.30,22328.21,28706.84,50781.53,78847.44,88067.45,89906.08,90665.52,91273.08,25788.10
HTTP Waiting (TTFB) (ms),50775.66,63.06,75610.14,507756.58,1496.37,7229.62,14396.17,34143.30,62083.70,70230.12,75557.81,75583.98,75604.91,25449.89
Input Sequence Length (tokens),550.00,550.00,550.00,5500.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,0.00
Inter Chunk Latency (ms),9.63,2.51,19.85,162868.64,8.47,9.36,9.47,9.55,9.62,9.69,9.78,9.93,10.99,0.52
Inter Token Latency (ms),9.63,9.61,9.64,96.28,9.61,9.61,9.62,9.62,9.63,9.64,9.64,9.64,9.64,0.01
Output Sequence Length (tokens),1692.30,1109.00,2204.00,16923.00,1131.59,1221.95,1334.90,1510.50,1647.50,1940.00,2024.90,2114.45,2186.09,312.28
Output Token Count (tokens),870.20,387.00,1349.00,8702.00,416.16,532.80,678.60,741.00,874.00,916.50,1190.60,1269.80,1333.16,247.02
Output Token Throughput Per User (tokens/sec/user),103.87,103.68,104.08,1038.67,103.68,103.69,103.69,103.78,103.89,103.95,104.00,104.04,104.08,0.12
Prefill Throughput Per User (tokens/sec/user),672.53,7.27,6612.77,6725.27,7.27,7.27,7.28,7.83,8.88,16.65,692.20,3652.48,6020.71,1980.10
Reasoning Token Count (tokens),822.10,641.00,1275.00,8221.00,642.35,647.75,654.50,713.00,764.50,819.00,1099.50,1187.25,1257.45,190.75
Request Latency (ms),67082.20,15936.00,91414.42,670821.97,17211.70,22314.49,28692.99,50767.74,78837.25,88055.98,89895.36,90654.89,91262.51,25789.23
Time to First Output Token (ms),58688.18,7510.70,83634.18,586881.79,8928.59,14600.16,21689.63,42324.14,71319.41,77163.63,81910.88,82772.53,83461.85,25542.78
Time to First Token (ms),50795.33,83.17,75628.53,507953.33,1516.58,7250.20,14417.23,34164.63,62103.31,70248.58,75576.36,75602.45,75623.31,25449.02
Time to Second Token (ms),9.65,9.49,9.75,96.51,9.50,9.53,9.57,9.61,9.66,9.70,9.73,9.74,9.74,0.07

Metric,Value
Benchmark Duration (sec),163.62
Output Token Throughput (tokens/sec),103.43
Request Count,10.00
Request Throughput (requests/sec),0.06
Total Input Sequence Length (tokens),5500.00
Total Output Sequence Length (tokens),16923.00
Total Output Tokens (tokens),8702.00
Total Reasoning Tokens (tokens),8221.00
Total Token Throughput (tokens/sec),137.04


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
