Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),421.75,349.74,528.67,4217.52,352.69,364.47,379.20,389.12,405.86,452.25,468.15,498.41,522.61,48.96
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,5.80,2.00,9.00,58.00,2.18,2.90,3.80,5.00,6.00,6.75,8.10,8.55,8.91,1.89
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.12,0.00,1.19,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.66,1.09,0.36
HTTP Connection Overhead (ms),0.17,0.00,1.73,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.95,1.57,0.52
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),7.16,2.46,11.04,71.61,2.69,3.61,4.76,6.08,7.13,8.42,10.21,10.62,10.96,2.35
HTTP Data Sent (KB),2.52,2.29,2.70,25.16,2.29,2.29,2.29,2.48,2.53,2.62,2.67,2.68,2.69,0.13
HTTP DNS Lookup (ms),0.05,0.00,0.53,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.29,0.49,0.16
HTTP Duration (excl. conn) (ms),3186.13,1243.70,4379.71,31861.33,1357.69,1813.65,2383.61,2551.29,3354.25,4005.96,4257.44,4318.58,4367.48,931.96
HTTP Receiving (ms),2520.23,440.78,3829.80,25202.30,562.82,1050.97,1661.16,1979.59,2633.98,3219.57,3807.81,3818.81,3827.60,979.60
HTTP Sending (ms),0.36,0.20,1.67,3.64,0.20,0.20,0.21,0.21,0.22,0.23,0.38,1.02,1.54,0.43
HTTP Total Time (ms),3186.31,1243.70,4381.44,31863.06,1357.69,1813.65,2383.61,2551.29,3354.25,4005.96,4257.62,4319.53,4369.06,932.18
HTTP Waiting (TTFB) (ms),665.54,363.45,841.04,6655.39,379.81,445.22,526.99,574.78,689.37,791.52,806.55,823.80,837.60,143.41
Input Sequence Length (tokens),550.00,550.00,550.00,5500.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,0.00
Inter Chunk Latency (ms),525.05,282.24,906.04,25202.24,282.24,310.97,339.15,445.19,503.86,619.36,690.47,724.08,906.04,131.56
Inter Token Latency (ms),1.79,1.02,2.00,17.85,1.08,1.34,1.66,1.74,1.87,1.95,1.98,1.99,2.00,0.27
Output Sequence Length (tokens),1371.00,435.00,2217.00,13710.00,483.06,675.30,915.60,1085.50,1342.00,1647.00,2040.60,2128.80,2199.36,494.57
Output Token Count (tokens),679.70,54.00,1129.00,6797.00,81.90,193.50,333.00,442.00,643.00,1016.75,1069.60,1099.30,1123.06,341.30
Output Token Throughput Per User (tokens/sec/user),580.95,500.79,984.63,5809.52,501.16,502.65,504.51,512.09,534.79,573.47,619.26,801.94,948.09,137.24
Prefill Throughput Per User (tokens/sec/user),876.50,653.72,1511.92,8764.96,656.53,667.76,681.80,694.72,801.20,954.35,1058.66,1285.29,1466.59,244.63
Reasoning Token Count (tokens),691.30,381.00,1187.00,6913.00,391.35,432.75,484.50,531.25,593.50,887.50,987.20,1087.10,1167.02,244.38
Request Latency (ms),3186.24,1243.79,4379.95,31862.40,1357.78,1813.75,2383.71,2551.38,3354.35,4006.06,4257.55,4318.75,4367.71,931.98
Time to First Output Token (ms),1968.36,1243.79,2623.51,19683.58,1243.91,1244.42,1245.06,1644.13,2022.16,2382.07,2509.91,2566.71,2612.15,471.99
Time to First Token (ms),666.02,363.78,841.34,6660.16,380.13,445.54,527.31,576.32,689.68,791.84,806.84,824.09,837.89,143.30
Time to Second Token (ms),610.37,335.50,906.04,6103.69,344.97,382.87,430.25,525.80,620.37,692.56,737.42,821.73,889.18,150.76

Metric,Value
Benchmark Duration (sec),31.88
Output Token Throughput (tokens/sec),430.05
Request Count,10.00
Request Throughput (requests/sec),0.31
Total Input Sequence Length (tokens),5500.00
Total Output Sequence Length (tokens),13710.00
Total Output Tokens (tokens),6797.00
Total Reasoning Tokens (tokens),6913.00
Total Token Throughput (tokens/sec),602.58


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
