Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),103.58,103.04,103.72,1035.84,103.08,103.22,103.40,103.53,103.69,103.70,103.72,103.72,103.72,0.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1560.20,1324.00,1800.00,15602.00,1328.95,1348.75,1373.50,1400.50,1539.00,1709.50,1793.70,1796.85,1799.37,176.50
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.22,0.00,2.19,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.20,1.99,0.66
HTTP Connection Overhead (ms),0.35,0.00,3.54,3.54,0.00,0.00,0.00,0.00,0.00,0.00,0.35,1.95,3.22,1.06
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),369.10,313.77,425.64,3690.97,314.91,319.47,325.16,331.35,364.14,404.36,423.96,424.80,425.47,41.55
HTTP Data Sent (KB),2.51,2.28,2.69,25.07,2.28,2.28,2.28,2.47,2.52,2.61,2.66,2.67,2.68,0.13
HTTP DNS Lookup (ms),0.14,0.00,1.35,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.74,1.23,0.41
HTTP Duration (excl. conn) (ms),15054.23,12785.64,17352.79,150542.29,12830.72,13011.04,13236.44,13497.20,14849.44,16555.58,17293.46,17323.13,17346.86,1706.98
HTTP Receiving (ms),14994.87,12732.65,17301.84,149948.69,12777.93,12959.06,13185.47,13442.72,14795.67,16453.68,17240.93,17271.38,17295.75,1701.94
HTTP Sending (ms),0.50,0.20,2.72,5.02,0.20,0.21,0.21,0.22,0.24,0.31,0.60,1.66,2.51,0.74
HTTP Total Time (ms),15054.58,12785.64,17352.79,150545.84,12830.72,13011.04,13236.44,13497.20,14849.44,16558.24,17293.46,17323.13,17346.86,1707.30
HTTP Waiting (TTFB) (ms),58.86,50.53,115.98,588.59,50.55,50.63,50.73,50.88,52.62,54.18,62.28,89.13,110.61,19.12
Input Sequence Length (tokens),550.00,550.00,550.00,5500.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,0.00
Inter Chunk Latency (ms),9.61,2.78,19.52,149666.59,8.71,9.35,9.45,9.53,9.60,9.67,9.76,9.89,10.65,0.49
Inter Token Latency (ms),9.61,9.60,9.63,96.10,9.60,9.60,9.60,9.60,9.61,9.62,9.62,9.63,9.63,0.01
Output Sequence Length (tokens),1558.30,1322.00,1798.00,15583.00,1326.95,1346.75,1371.50,1398.50,1537.00,1707.50,1792.60,1795.30,1797.46,176.63
Output Token Count (tokens),724.50,321.00,880.00,7245.00,351.42,473.10,625.20,683.75,754.50,831.00,855.70,867.85,877.57,152.90
Output Token Throughput Per User (tokens/sec/user),104.05,103.83,104.18,1040.55,103.83,103.87,103.92,103.99,104.08,104.15,104.18,104.18,104.18,0.11
Prefill Throughput Per User (tokens/sec/user),7371.56,4085.02,7962.23,73715.64,4379.03,5555.07,7025.13,7559.63,7722.90,7899.84,7935.79,7949.01,7959.59,1110.83
Reasoning Token Count (tokens),833.80,658.00,1001.00,8338.00,664.75,691.75,725.50,735.50,845.50,915.00,959.60,980.30,996.86,107.78
Request Latency (ms),15044.14,12775.70,17342.60,150441.44,12820.77,13001.07,13226.43,13487.20,14839.36,16545.44,17283.15,17312.87,17336.66,1706.88
Time to First Output Token (ms),8071.61,6369.37,9689.80,80716.11,6436.20,6703.54,7037.70,7117.14,8213.21,8837.39,9270.15,9479.97,9647.83,1038.34
Time to First Token (ms),77.49,69.08,134.64,774.85,69.10,69.19,69.31,69.62,71.22,72.76,80.79,107.72,129.25,19.13
Time to Second Token (ms),9.63,9.54,9.74,96.31,9.54,9.55,9.55,9.58,9.64,9.67,9.71,9.72,9.73,0.06

Metric,Value
Benchmark Duration (sec),150.69
Output Token Throughput (tokens/sec),103.41
Request Count,10.00
Request Throughput (requests/sec),0.07
Total Input Sequence Length (tokens),5500.00
Total Output Sequence Length (tokens),15583.00
Total Output Tokens (tokens),7245.00
Total Reasoning Tokens (tokens),8338.00
Total Token Throughput (tokens/sec),139.91


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
